ticker,yahoo_symbol,status,row_count,date_min,date_max,error
TCELL,TCELL.IS,OK,1522,2020-07-01,2026-07-30,
THYAO,THYAO.IS,OK,1522,2020-07-01,2026-07-30,
TKFEN,TKFEN.IS,OK,1523,2020-07-01,2026-07-30,
TKNSA,TKNSA.IS,OK,1522,2020-07-01,2026-07-30,
TMSN,TMSN.IS,OK,1522,2020-07-01,2026-07-30,
TOASO,TOASO.IS,OK,1522,2020-07-01,2026-07-30,
TRALT,TRALT.IS,OK,1522,2020-07-01,2026-07-30,
TRENJ,TRENJ.IS,OK,1522,2020-07-01,2026-07-30,
TRGYO,TRGYO.IS,OK,1522,2020-07-01,2026-07-30,
TRILC,TRILC.IS,OK,1351,2021-03-05,2026-07-30,
TRMET,TRMET.IS,OK,1522,2020-07-01,2026-07-30,
TSKB,TSKB.IS,OK,1522,2020-07-01,2026-07-30,
TSPOR,TSPOR.IS,OK,1522,2020-07-01,2026-07-30,
TTKOM,TTKOM.IS,OK,1522,2020-07-01,2026-07-30,
TTRAK,TTRAK.IS,OK,1522,2020-07-01,2026-07-30,
TUKAS,TUKAS.IS,OK,1523,2020-07-01,2026-07-30,
TUPRS,TUPRS.IS,OK,1522,2020-07-01,2026-07-30,
TUREX,TUREX.IS,OK,1327,2021-04-08,2026-07-30,
TURSG,TURSG.IS,OK,1526,2020-07-01,2026-07-30,
ULKER,ULKER.IS,OK,1522,2020-07-01,2026-07-30,
ULUUN,ULUUN.IS,OK,1523,2020-07-01,2026-07-30,
VAKBN,VAKBN.IS,OK,1522,2020-07-01,2026-07-30,
VERUS,VERUS.IS,OK,1522,2020-07-01,2026-07-30,
VESBE,VESBE.IS,OK,1522,2020-07-01,2026-07-30,
VESTL,VESTL.IS,OK,1522,2020-07-01,2026-07-30,
YATAS,YATAS.IS,OK,1522,2020-07-01,2026-07-30,
YEOTK,YEOTK.IS,OK,1237,2021-09-03,2026-07-31,
YKBNK,YKBNK.IS,OK,1522,2020-07-01,2026-07-30,
YYLGD,YYLGD.IS,OK,1050,2022-05-20,2026-07-30,
ZOREN,ZOREN.IS,OK,1522,2020-07-01,2026-07-30,
ZRGYO,ZRGYO.IS,OK,1307,2021-05-06,2026-07-30,
