ticker,yahoo_symbol,action_date,cash_dividend_per_share,split_factor
ECILC,ECILC.IS,2026-05-06,1.75116,0.0
ECZYT,ECZYT.IS,2021-04-28,1.24,0.0
ECZYT,ECZYT.IS,2022-05-26,1.524,0.0
ECZYT,ECZYT.IS,2023-04-27,1.9,0.0
ECZYT,ECZYT.IS,2024-06-05,5.2,0.0
ECZYT,ECZYT.IS,2025-05-14,6.666667,0.0
ECZYT,ECZYT.IS,2026-05-06,5.714286,0.0
EFOR,EFOR.IS,2025-08-15,0.022957,0.0
EGEEN,EGEEN.IS,2021-01-04,42.78,0.0
EGEEN,EGEEN.IS,2021-03-26,60.30009,0.0
EGEEN,EGEEN.IS,2022-03-31,24.0,0.0
EGEEN,EGEEN.IS,2022-04-29,48.0,0.0
EGEEN,EGEEN.IS,2023-04-28,69.0,0.0
EGEEN,EGEEN.IS,2024-05-29,103.0,0.0
EGEEN,EGEEN.IS,2025-03-28,53.0,0.0
EGGUB,EGGUB.IS,2020-07-27,0.105,0.0
EGGUB,EGGUB.IS,2020-12-31,0.095,0.0
EGGUB,EGGUB.IS,2021-05-24,0.25,0.0
EGGUB,EGGUB.IS,2022-05-23,0.3,0.0
EGGUB,EGGUB.IS,2023-04-27,0.6,0.0
EGGUB,EGGUB.IS,2024-05-16,1.2,0.0
EGGUB,EGGUB.IS,2025-05-21,1.8,0.0
EGGUB,EGGUB.IS,2026-05-04,2.5,0.0
EKGYO,EKGYO.IS,2020-07-23,0.02017,0.0
EKGYO,EKGYO.IS,2021-05-05,0.0217,0.0
EKGYO,EKGYO.IS,2022-04-25,0.1027,0.0
EKGYO,EKGYO.IS,2023-04-12,0.239,0.0
EKGYO,EKGYO.IS,2025-06-16,0.4,0.0
EKGYO,EKGYO.IS,2026-06-24,0.6,0.0
ENERY,ENERY.IS,2024-07-25,0.005556,0.0
ENERY,ENERY.IS,2025-08-11,0.011111,0.0
ENJSA,ENJSA.IS,2021-04-09,0.96,0.0
ENJSA,ENJSA.IS,2022-04-11,1.24,0.0
ENJSA,ENJSA.IS,2023-04-12,2.3,0.0
ENJSA,ENJSA.IS,2024-05-02,2.79,0.0
ENJSA,ENJSA.IS,2025-04-21,2.87,0.0
ENJSA,ENJSA.IS,2026-04-13,5.08,0.0
ENKAI,ENKAI.IS,2021-04-13,0.333333,0.0
ENKAI,ENKAI.IS,2022-01-05,0.186667,0.0
ENKAI,ENKAI.IS,2022-04-13,0.466667,0.0
ENKAI,ENKAI.IS,2023-04-12,0.363333,0.0
ENKAI,ENKAI.IS,2024-01-03,0.5,0.0
ENKAI,ENKAI.IS,2024-05-14,1.25,0.0
ENKAI,ENKAI.IS,2025-04-16,2.0,0.0
ENKAI,ENKAI.IS,2025-06-11,0.316667,0.0
ENKAI,ENKAI.IS,2025-10-08,0.833333,0.0
ENKAI,ENKAI.IS,2026-01-14,0.833333,0.0
ENKAI,ENKAI.IS,2026-04-08,2.1,0.0
ERBOS,ERBOS.IS,2021-05-17,0.899998,0.0
ERBOS,ERBOS.IS,2022-04-25,1.574996,0.0
ERBOS,ERBOS.IS,2023-05-08,1.125,0.0
ERBOS,ERBOS.IS,2024-07-08,2.25,0.0
ERBOS,ERBOS.IS,2026-05-20,2.7,0.0
EREGL,EREGL.IS,2020-07-17,0.115,0.0
EREGL,EREGL.IS,2021-03-24,0.925,0.0
EREGL,EREGL.IS,2022-03-22,2.225,0.0
EREGL,EREGL.IS,2024-04-16,0.25,0.0
EREGL,EREGL.IS,2025-07-02,0.25,0.0
EREGL,EREGL.IS,2026-06-03,0.55,0.0
ESEN,ESEN.IS,2021-04-19,0.000247,0.0
ESEN,ESEN.IS,2022-08-10,0.00422,0.0
ESEN,ESEN.IS,2023-04-12,0.005495,0.0
FROTO,FROTO.IS,2021-03-24,0.642,0.0
FROTO,FROTO.IS,2021-11-19,0.372,0.0
FROTO,FROTO.IS,2022-03-24,1.3,0.0
FROTO,FROTO.IS,2022-11-30,0.57,0.0
FROTO,FROTO.IS,2023-03-13,1.425,0.0
FROTO,FROTO.IS,2023-10-30,2.976,0.0
FROTO,FROTO.IS,2024-04-08,4.33,0.0
FROTO,FROTO.IS,2024-11-22,1.425,0.0
FROTO,FROTO.IS,2025-04-03,1.71,0.0
FROTO,FROTO.IS,2025-12-03,6.05,0.0
FROTO,FROTO.IS,2026-03-16,3.64,0.0
GARAN,GARAN.IS,2021-04-05,0.148523,0.0
GARAN,GARAN.IS,2022-05-25,0.311269,0.0
GARAN,GARAN.IS,2023-04-14,2.089613,0.0
GARAN,GARAN.IS,2024-03-29,3.11899,0.0
GARAN,GARAN.IS,2025-03-28,4.389285,0.0
GARAN,GARAN.IS,2026-04-07,5.266887,0.0
GENIL,GENIL.IS,2022-04-13,0.024444,0.0
GENIL,GENIL.IS,2023-05-15,0.074074,0.0
GENIL,GENIL.IS,2024-06-07,0.024691,0.0
GENIL,GENIL.IS,2024-10-08,0.024691,0.0
GENIL,GENIL.IS,2025-05-07,0.008889,0.0
GENIL,GENIL.IS,2025-08-12,0.008889,0.0
GENIL,GENIL.IS,2025-11-12,0.008889,0.0
GLYHO,GLYHO.IS,2023-11-09,0.007692,0.0
GLYHO,GLYHO.IS,2024-10-24,0.041026,0.0
GLYHO,GLYHO.IS,2025-09-30,0.064103,0.0
GOLTS,GOLTS.IS,2021-07-13,0.2,0.0
GOLTS,GOLTS.IS,2022-10-20,0.2,0.0
GOLTS,GOLTS.IS,2023-07-31,3.5,0.0
GOLTS,GOLTS.IS,2024-10-03,11.12,0.0
GOLTS,GOLTS.IS,2025-12-05,5.0,0.0
GOLTS,GOLTS.IS,2026-07-17,4.166667,0.0
GRSEL,GRSEL.IS,2022-09-27,0.098039,0.0
GRSEL,GRSEL.IS,2023-10-27,0.098039,0.0
GRSEL,GRSEL.IS,2024-06-20,0.196078,0.0
GRSEL,GRSEL.IS,2024-10-21,0.196078,0.0
GRSEL,GRSEL.IS,2025-07-18,0.392157,0.0
GRSEL,GRSEL.IS,2025-07-25,0.392157,0.0
GRSEL,GRSEL.IS,2026-05-11,0.735294,0.0
GRSEL,GRSEL.IS,2026-05-18,0.735294,0.0
GRTHO,GRTHO.IS,2024-07-22,0.039733,0.0
GRTHO,GRTHO.IS,2024-09-13,0.039733,0.0
GRTHO,GRTHO.IS,2024-12-13,0.039733,0.0
GRTHO,GRTHO.IS,2026-05-22,0.449071,0.0
GRTHO,GRTHO.IS,2026-07-22,0.449071,0.0
GSDHO,GSDHO.IS,2022-08-26,0.1125,0.0
GSDHO,GSDHO.IS,2023-08-14,0.1,0.0
GWIND,GWIND.IS,2022-05-26,0.277778,0.0
GWIND,GWIND.IS,2023-05-05,0.509259,0.0
GWIND,GWIND.IS,2023-12-26,0.231481,0.0
GWIND,GWIND.IS,2024-08-27,0.809259,0.0
GWIND,GWIND.IS,2025-11-26,0.640741,0.0
HLGYO,HLGYO.IS,2021-04-07,0.001929,0.0
HLGYO,HLGYO.IS,2022-04-05,0.001245,0.0
HLGYO,HLGYO.IS,2023-08-11,0.002336,0.0
HLGYO,HLGYO.IS,2024-07-19,0.013352,0.0
HLGYO,HLGYO.IS,2025-06-18,0.004167,0.0
HLGYO,HLGYO.IS,2026-06-26,0.575521,0.0
