effective_date,old_ticker,new_ticker,source_workbook_sha256,event_sha256
2023-06-01,ARMDA,INGRM,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,ba28ce201b29b287a3bc2764221ccb56ffef1eb192d7ee7158702efd4e1df16e
2023-07-03,RHEAG,ICUGS,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,09ecb3164d525a5941142697d5c0c398f38aa8a9ec96527ad949b73dcd16439f
2023-11-01,ITTFH,LRSHO,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,0514812190bd62f3ef044cb3f7378099d010be0cc5aed24c8135366b4cfc9a38
2024-03-01,AUKAK,TPKGY,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,e217899634c451c2e9c6870c587d81c02cbd22a4f3a5a40c4f28a0411da80231
2024-03-01,IDEAS,SKYLP,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,5f2ab5e9e35830c6c4eec71fc820ca292c3ba97e9f46c193c9a411ac7f1995f7
2024-04-19,DJIST,QTEMZ,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,0249aabfb5e1a9a0d96cd92916e7cd5aa823386e9c5e54fe10286023292b03f5
2024-06-03,PEGYO,PEHOL,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,d92da25811639ad13af2877c94a5e0c8f80de21f863adf194119452a3098d796
2024-08-01,MIPAZ,LYDHO,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,bd939a8ac4eac470ebff5f5fad98291545b46a2394fbe9992109d685e6cd5840
2024-08-01,UZERB,INTEK,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,f8f7d52fa1b2ea7cc4597f2eae4173176847fb2d83f5f3f876898e3ffe306b2c
2024-08-05,ZTM15,ZTM25,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,91977878cf71f41fc6bfe4bcd1f7f210055381cfde335e4d0849cab318ab8864
2024-10-01,GRTRK,GRTHO,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,2c084da846f308835f3f242be1fbe56a7224bc0ee25f60f8d6d7a1c29dce33d7
2024-10-01,TETMT,LYDYE,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,223e1cd2e06ff319a46873f67691a59e4e9d73c6d76a4ef84c349fa67bb9089c
2024-11-01,QNBFB,QNBTR,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,d71a2003c36818a21f6e2aa93f7e2d7aa5a153b7524fb09bf63721f90faebc38
2024-12-02,QNBFL,QNBFK,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,eab04536d08bcfd5ac6db579bbe405e177054cc83831dd9cd7c0d64000302912
2025-02-03,AUODK,NPJET,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,b1af21be0aee02d27b46bc54454bfa8eb41c02df773568d31b7c00af25068269
2025-04-02,ALMAD,RUZYE,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,6b35179be0bf099ec3963f4ae2a7670de3eaeb3c3d235140d61bdad59e944a2c
2025-05-02,KARYE,A1YEN,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,a63a7241461946499bad761e516f98b43cd861ff41d73945be60c0f84a7951c3
2025-06-02,KERVT,BESLR,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,f3c7c7fb8f0b07378d3b717fa7ca99529aa9137b33825ecb5bde15e97588fc84
2025-08-01,PEHOL,TEHOL,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,eeece377e70e1c24fad7457377c05bae9962b38724d1cbf7cecfd2913df3b381
2025-09-01,DAGHL,TRHOL,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,50b94718d94440c623572a8e50f0496f0059f3650cf7a7cc8a4a8d41de384287
2025-10-01,METUR,BLUME,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,156751bcc25235fa4da9083e5820e88be1db0682e92340b0583aaac5692f43a7
2025-10-01,SELGD,DUNYH,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,162c2727d25d29aad18c096ee4d3aae8355c0b9da33d5f22f9af932c55dc0be0
2025-11-03,DOBUR,BIGTK,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,947b50385163d6591f14f63d7fffc643c00320455832b342d32798e4a2f0820e
2025-11-03,EFORC,EFOR,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,62e76ef96a786eac3ee125733cac71f5c965d1e741403509c69692c285526a5e
2025-11-24,IPEKE,TRENJ,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,84b696d97db64eb5ed6538fcf1d70e1e6a50ba0988c308ff7b46cb030b278965
2025-11-24,KOZAA,TRMET,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,3884d03e3ff879a34875b8e78a14c35eb458bb5709c2c54ae1bf9c3bc858ecb5
2025-11-24,KOZAL,TRALT,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,ed77b42000bbba72650a29ff6dceeb3b4e6f6cc728a764552c3e3fad8d6c0e54
2026-02-02,SNKRN,GATEG,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,3bc4e8a65905e691d89c74244a1c901ad44f86445a48ff963623857d50db85e9
