ticker,m3,ek4,ek9
DESPC,0.3098617765774535,0.8327020095538552,0.33450853136878966
DEVA,1.0,0.8746209450286603,0.4962798930402038
DGATE,0.0,0.4186443018548717,0.3874431920715654
DGNMO,0.0,0.0,
DITAS,0.0,0.0,
DMRGD,0.5162378155227201,0.5108431586836549,0.539411346342051
DMSAS,0.319494926570887,0.1544370094807819,
DNISI,0.29898575729033217,0.6464785353619419,0.5705259929461576
DOAS,0.30181240997047487,0.44599814960714507,0.7635704632488217
DOCO,0.46092281281903275,0.4620443412593915,
DOFER,0.056170449878085865,0.1804619407235218,0.6870990960491526
DOFRB,0.0,0.3154483744190882,0.3103192170905431
DOGUB,0.0,0.0,
DOKTA,0.04071872188947834,0.4419636523555105,
DURDO,0.3185455725626996,0.5135299306198422,
DURKN,0.3904000945880977,0.3979955996063654,0.47584589836773883
DYOBY,0.04448409320041993,0.27681839469332986,
EBEBK,0.5765798215654374,0.6486043892105684,0.5902206219618298
ECOGR,0.49729458878539623,0.5516721226327268,0.37370219783237757
EDATA,0.08333877566623862,0.32028375351128524,
EDIP,0.49639581992959014,0.5719236741889581,0.46825724861070084
EFOR,1.0,0.7002327107683122,0.23376242366721067
EFORC,,,
EGEEN,0.8118564932631894,0.9855226117209843,0.521832768255686
EGEPO,0.0,0.0,
EGGUB,0.521648079092609,0.761507691505497,0.6161500246179266
EGPRO,0.3801140241932756,0.6827262693424031,0.49994667785886004
EGSER,0.1909711175026269,0.41470618656929675,
EKDMR,0.0,0.3322148057167724,0.4861768359773704
EKIM,,0.4751715229912244,
EKOS,0.0,0.09979886006865293,0.5928726883919242
EKSUN,0.0,0.11273480013113582,
ELITE,0.0,0.12492018706088334,0.700883930451007
EMKEL,0.0,0.0,
EMPAE,0.0,0.3576092161104831,0.0
ENDAE,0.26546601932364217,0.08652495983755712,0.4155475316636833
ENERY,1.0,1.0,0.4836082031064709
ENJSA,0.7296130747199284,0.6225156573498856,
ENKAI,0.42727652113393855,0.7186276315487725,0.6690682020687884
ENSRI,0.0,0.013732884376843196,
ENTRA,0.32875638958119724,0.4063655054764016,0.5677947632579705
EPLAS,0.660690907880199,0.8464748459653427,
ERBOS,0.0,0.3732201635261449,0.660342084822748
ERCB,0.0,0.25313676631051507,
EREGL,0.3448428385854566,0.5360165062130535,0.6131374853780864
ERSU,0.09491021659578401,0.20464440877576637,
ESCAR,0.2517017545570875,0.4152687832353145,
ESCOM,0.15993448930896761,0.5254382284985446,0.4402095205740315
ESEN,0.3065879728673658,0.47019278138706444,
ETILR,0.7797906404717098,0.5375846833265547,
EUPWR,0.0,0.0,
EUREN,0.0,0.4988813903469387,
FADE,0.1914992485073278,0.4166445472097392,0.4877728236126434
FENER,0.21066685309206318,0.22237808757342506,
FLAP,0.5853348229307161,1.0,
FMIZP,0.37235533881899857,0.44346792061121837,
FONET,0.1404813401584068,0.3988662482560308,0.556411078209277
FORMT,0.0,0.1223753586799238,
FORTE,1.0,0.584220208051178,0.3457500361553464
FRIGO,0.3192539758992366,0.4123013841914043,
FRMPL,0.0,0.03350745700925181,0.4288918076875412
FROTO,0.23611876893109968,0.4830385516165743,0.7174002614860308
GEDZA,0.0,0.3006671659402875,0.7376359206304053
GENIL,1.0,0.5197292692226825,
GENKM,0.0,0.4845137015648622,0.40954023396369954
GENTS,0.0,0.3914596153913581,0.6484072869503421
GEREL,0.11534264033432724,0.0,0.3032816630880225
GESAN,0.05058839442175965,0.0,0.2629101864538608
GIPTA,0.46505932181194753,0.11462222527773527,0.19063692459284454
GLRMK,0.4607387143286242,0.43374939256539385,0.5678873329666756
GMTAS,1.0,0.7090073933403499,
GOKNR,0.0,0.3480079882184626,
GOLDA,,0.6184466492023439,
GOLTS,0.1891866621334772,0.27324241271115585,0.73110269023659
GOODY,0.1703540690847133,0.21826901304938237,
GRSEL,0.4128750213011843,0.23443803027408408,0.6732962609649594
GSDDE,0.6982649673067204,0.6889719420663191,0.3508288378134341
GSRAY,0.46791578864823946,0.42897008256332314,
GUBRF,0.2250305508173278,0.685361576827125,
GUNDG,0.0,0.0,0.0
GWIND,0.16076953259307405,0.4832194378146713,0.7428779950808931
GZNMI,0.0,0.051929667654524586,
HATEK,0.042543107633902164,0.5328814056057275,
HATSN,0.330932476203214,0.8998475370648397,
HEKTS,0.0,0.39135460970194724,
HKTM,0.24016672336396697,0.36908462917992557,0.3574732940843075
HOROZ,0.3441152135734549,0.1972020783745622,0.5036527579348462
HRKET,0.0,0.029343277447484023,0.34284949962962774
HTTBT,0.07564432970024293,0.6492987276057328,0.7421706574911486
HUNER,0.770504973364572,0.7187273854020407,
HURGZ,0.8373537266095983,0.47613985427495825,
IHAAS,0.0,0.06964755033729161,
IHEVA,0.33800978028109563,0.4988813903469387,0.7095127258312874
IHGZT,0.2942326683717268,0.6132146474785225,0.660556582965929
IHLGM,0.26714333904367216,0.6185564592417495,0.6249347565703938
IMASM,0.0,0.36116965115101357,
INDES,0.5226061618363146,1.0,0.6161585732049054
INGRM,0.2765014944725281,0.7479315610281382,
INTEM,0.30616510557529963,0.29766379597255266,0.5774182790184246
INTET,,,
IPEKE,,,
ISDMR,0.5444835686742802,0.9372242712032892,0.6238543729957637
ISKPL,0.0,0.1000487013106928,0.15246137305290752
ISSEN,0.1720091054083244,0.524845846592671,0.7899508786157061
ISVEA,,1.0,
IZENR,0.0,0.039453080887211084,0.4504093040056235
IZFAS,0.0849820630260701,0.20476377240497848,
IZINV,0.0,0.11038586913911227,
IZMDC,0.8382829996668647,0.0,
JANTS,0.38612506606112773,0.6923436760580977,
KAPLM,0.0,0.0,
KARCL,,1.0,
KAREL,0.0,0.4266593687070284,
KARSN,0.5864450458702717,1.0,0.3258023597245433
KARTN,0.8066570885988007,0.06409890031574841,
KATMR,0.0,0.20619844507958826,0.6390660802233487
KAYSE,0.09491961171007035,0.5186702898797392,
KBORU,0.0,0.0,0.39649045699464724
KCAER,0.07493704037450782,0.0,0.5727699577410066
KERVT,,,
KFEIN,0.0,0.7180937460844031,0.6547031965943749
KIMMR,0.04678888976834335,0.41434429566955044,
KLKIM,0.07001505649039542,0.42069682548249815,0.6942045648588853
KLMSN,0.06378187366837706,0.2201765883355898,
KLSER,0.0,0.3181089768456689,
KLSYN,0.6197226883515635,0.45197704465758837,0.4600855336960129
KLYPV,0.6463527832982131,0.6215867464227801,0.5450313640540776
KMPUR,0.0919325044322826,0.07274502671057517,
KNFRT,0.015432987327753112,0.5793270064783869,
KOCMT,1.0,0.0,0.0
KONKA,0.0,0.0,
KONTR,0.0,0.1642293296059237,
KONYA,0.7856809520091685,0.8302687529843013,0.5671099327935387
KOPOL,0.0,0.19816323251692622,
KORDS,0.23429061738131102,0.0,0.27305630629265587
KOTON,0.173777001041144,0.4537863242258895,0.6068664821343766
KOZAA,,,
KOZAL,,,
KPEKS,,,
KRDMA,0.7436868022816853,0.5602510737048778,
KRDMB,0.1368593621844226,0.0,
KRDMD,0.6855412129309774,0.4988813903469387,
KRONT,0.5355043408795396,0.41531158727093076,0.32365804462743586
KRPLS,1.0,0.8974320081528021,
KRSTL,0.0,0.19007351699242378,0.7088275194622742
KRTEK,0.0,0.3964223723516512,
KRVGD,0.0,0.39204388147883695,0.7237215605109049
KTSKR,0.0,0.17798586795887902,
KUTPO,0.2125206845177255,0.43015811478354965,
KUVVA,0.8561917026824741,0.4303574272825179,
KUYAS,0.6289681950144856,0.8789471926734275,
LIDER,0.0,0.0,
LILAK,0.0,0.3478861719404612,0.6721193814917572
LINK,0.0,0.6389974966336585,0.579907619332443
LKMNH,0.24575736493781017,0.4476469654969332,0.6760199991860327
