ticker,cell_count,first_month,last_month,months
GESAN,46,2022-01,2026-07,2022-01|2022-02|2022-03|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03|2026-04|2026-05|2026-06|2026-07
GLRMK,13,2025-07,2026-07,2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03|2026-04|2026-05|2026-06|2026-07
GLYHO,29,2021-08,2023-12,2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12
GOLTS,11,2024-08,2025-06,2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06
GRSEL,13,2025-07,2026-07,2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03|2026-04|2026-05|2026-06|2026-07
GSDHO,18,2022-04,2023-09,2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09
GUBRF,32,2023-09,2026-07,2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03|2026-04|2026-05|2026-06|2026-07
GWIND,22,2022-04,2024-04,2022-04|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04
HEKTS,32,2023-09,2026-07,2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03|2026-04|2026-05|2026-06|2026-07
IEYHO,13,2025-01,2026-07,2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-07
IHLAS,2,2021-08,2021-09,2021-08|2021-09
ISDMR,7,2023-09,2024-03,2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03
ISGYO,11,2022-04,2023-02,2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02
IZENR,4,2024-01,2024-04,2024-01|2024-02|2024-03|2024-04
IZMDC,7,2023-09,2024-03,2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03
KARSN,16,2023-09,2025-06,2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06
KCAER,39,2023-01,2026-03,2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03
