ticker,company_name,sector_index_code,sector_code,is_active,kap_company_id,source_url,universe_source
SERNT,SERANİT GRANİT SERAMİK SANAYİ VE TİCARET A.Ş.,,,True,6058,https://kap.org.tr/tr/sirket-bilgileri/ozet/6058-seranit-granit-seramik-sanayi-ve-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
SEYKM,SEYİTLER KİMYA SANAYİ A.Ş.,,,True,2500,https://kap.org.tr/tr/sirket-bilgileri/ozet/2500-seyitler-kimya-sanayi-a-s,KAP_PUBLIC_BIST_COMPANIES
SILVR,SİLVERLİNE ENDÜSTRİ VE TİCARET A.Ş.,,,True,1436,https://kap.org.tr/tr/sirket-bilgileri/ozet/1436-silverline-endustri-ve-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
SISE,TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş.,,,True,1087,https://kap.org.tr/tr/sirket-bilgileri/ozet/1087-turkiye-sise-ve-cam-fabrikalari-a-s,KAP_PUBLIC_BIST_COMPANIES
SKBNK,ŞEKERBANK T.A.Ş.,,,True,2418,https://kap.org.tr/tr/sirket-bilgileri/ozet/2418-sekerbank-t-a-s,KAP_PUBLIC_BIST_COMPANIES
SKTAS,SÖKTAŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,,,True,1073,https://kap.org.tr/tr/sirket-bilgileri/ozet/1073-soktas-tekstil-sanayi-ve-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
SKY,ŞEKER YATIRIM MENKUL DEĞERLER A.Ş.,,,True,1351,https://kap.org.tr/tr/sirket-bilgileri/ozet/1351-seker-yatirim-menkul-degerler-a-s,KAP_PUBLIC_BIST_COMPANIES
SKYLP,SKYALP FİNANSAL TEKNOLOJİLER VE DANIŞMANLIK A.Ş.,,,True,1602,https://kap.org.tr/tr/sirket-bilgileri/ozet/1602-skyalp-finansal-teknolojiler-ve-danismanlik-a-s,KAP_PUBLIC_BIST_COMPANIES
SKYMD,ŞEKER YATIRIM MENKUL DEĞERLER A.Ş.,,,True,1351,https://kap.org.tr/tr/sirket-bilgileri/ozet/1351-seker-yatirim-menkul-degerler-a-s,KAP_PUBLIC_BIST_COMPANIES
SMART,SMARTİKS YAZILIM A.Ş.,,,True,4872,https://kap.org.tr/tr/sirket-bilgileri/ozet/4872-smartiks-yazilim-a-s,KAP_PUBLIC_BIST_COMPANIES
SMRFA,SÜMER FAKTORİNG A.Ş.,,,True,2411,https://kap.org.tr/tr/sirket-bilgileri/ozet/2411-sumer-faktoring-a-s,KAP_PUBLIC_BIST_COMPANIES
SMRTG,SMART GÜNEŞ ENERJİSİ TEKNOLOJİLERİ ARAŞTIRMA GELİŞTİRME ÜRETİM SANAYİ VE TİCARET A.Ş.,,,True,5557,https://kap.org.tr/tr/sirket-bilgileri/ozet/5557-smart-gunes-enerjisi-teknolojileri-arastirma-gelistirme-uretim-sanayi-ve-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
SMRVA,SÜMER VARLIK YÖNETİM A.Ş.,,,True,3660,https://kap.org.tr/tr/sirket-bilgileri/ozet/3660-sumer-varlik-yonetim-a-s,KAP_PUBLIC_BIST_COMPANIES
SNGYO,SİNPAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,,,True,1459,https://kap.org.tr/tr/sirket-bilgileri/ozet/1459-sinpas-gayrimenkul-yatirim-ortakligi-a-s,KAP_PUBLIC_BIST_COMPANIES
SNICA,SANİCA ISI SANAYİ A.Ş.,,,True,5691,https://kap.org.tr/tr/sirket-bilgileri/ozet/5691-sanica-isi-sanayi-a-s,KAP_PUBLIC_BIST_COMPANIES
SNPAM,SÖNMEZ PAMUKLU SANAYİİ A.Ş.,,,True,1075,https://kap.org.tr/tr/sirket-bilgileri/ozet/1075-sonmez-pamuklu-sanayii-a-s,KAP_PUBLIC_BIST_COMPANIES
SODSN,SODAŞ SODYUM SANAYİİ A.Ş.,,,True,1583,https://kap.org.tr/tr/sirket-bilgileri/ozet/1583-sodas-sodyum-sanayii-a-s,KAP_PUBLIC_BIST_COMPANIES
SOHOE,SOHO GİYİM VE ENERJİ A.Ş.,,,True,6233,https://kap.org.tr/tr/sirket-bilgileri/ozet/6233-soho-giyim-ve-enerji-a-s,KAP_PUBLIC_BIST_COMPANIES
SOKE,SÖKE DEĞİRMENCİLİK SANAYİ VE TİCARET A.Ş.,,,True,4099,https://kap.org.tr/tr/sirket-bilgileri/ozet/4099-soke-degirmencilik-sanayi-ve-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
SOKM,ŞOK MARKETLER TİCARET A.Ş.,,,True,3913,https://kap.org.tr/tr/sirket-bilgileri/ozet/3913-sok-marketler-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
SONME,SÖNMEZ FİLAMENT SENTETİK İPLİK VE ELYAF SANAYİ A.Ş.,,,True,1074,https://kap.org.tr/tr/sirket-bilgileri/ozet/1074-sonmez-filament-sentetik-iplik-ve-elyaf-sanayi-a-s,KAP_PUBLIC_BIST_COMPANIES
SRVGY,SERVET GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,,,True,1705,https://kap.org.tr/tr/sirket-bilgileri/ozet/1705-servet-gayrimenkul-yatirim-ortakligi-a-s,KAP_PUBLIC_BIST_COMPANIES
SSAAT,SAAT VE SAAT SANAYİ VE TİCARET A.Ş.,,,True,4184,https://kap.org.tr/tr/sirket-bilgileri/ozet/4184-saat-ve-saat-sanayi-ve-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
SUMAS,SUMAŞ SUNİ TAHTA VE MOBİLYA SANAYİİ A.Ş.,,,True,2801,https://kap.org.tr/tr/sirket-bilgileri/ozet/2801-sumas-suni-tahta-ve-mobilya-sanayii-a-s,KAP_PUBLIC_BIST_COMPANIES
SUNTK,SUN TEKSTİL SANAYİ VE TİCARET A.Ş.,,,True,5587,https://kap.org.tr/tr/sirket-bilgileri/ozet/5587-sun-tekstil-sanayi-ve-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
SURGY,SUR TATİL EVLERİ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,,,True,5910,https://kap.org.tr/tr/sirket-bilgileri/ozet/5910-sur-tatil-evleri-gayrimenkul-yatirim-ortakligi-a-s,KAP_PUBLIC_BIST_COMPANIES
SUWEN,SUWEN TEKSTİL SANAYİ PAZARLAMA A.Ş.,,,True,5332,https://kap.org.tr/tr/sirket-bilgileri/ozet/5332-suwen-tekstil-sanayi-pazarlama-a-s,KAP_PUBLIC_BIST_COMPANIES
SVGYO,SAVUR GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,,,True,6198,https://kap.org.tr/tr/sirket-bilgileri/ozet/6198-savur-gayrimenkul-yatirim-ortakligi-a-s,KAP_PUBLIC_BIST_COMPANIES
