ticker,date,kind,value
DOHOL,2024-07-08,DIVIDEND,0.05
DOHOL,2025-09-01,DIVIDEND,0.305694
DURDO,2023-09-19,DIVIDEND,0.0112
DURDO,2023-10-17,DIVIDEND,0.0112
DURDO,2023-11-21,DIVIDEND,0.0112
DURDO,2023-12-19,DIVIDEND,0.0112
DURDO,2024-07-23,DIVIDEND,0.02
DURDO,2024-01-24,SPLIT,2.8571
DURDO,2025-03-11,SPLIT,5.0
DURKN,2025-08-14,DIVIDEND,0.032698
DURKN,2025-11-14,DIVIDEND,0.032698
DYOBY,2024-08-28,SPLIT,3.0
EBEBK,2024-10-15,DIVIDEND,0.25
EBEBK,2024-12-16,DIVIDEND,0.25
EBEBK,2025-10-15,DIVIDEND,0.5
EBEBK,2025-12-15,DIVIDEND,0.5
ECILC,2024-06-05,DIVIDEND,1.18
ECILC,2025-05-14,DIVIDEND,1.75116
ECILC,2026-05-06,DIVIDEND,1.75116
ECZYT,2024-06-05,DIVIDEND,5.2
ECZYT,2025-05-14,DIVIDEND,6.666667
ECZYT,2026-05-06,DIVIDEND,5.714286
EDATA,2025-02-07,SPLIT,2.979037
EFOR,2025-08-15,DIVIDEND,0.022957
EFOR,2025-11-28,SPLIT,6.0
EGEEN,2024-05-29,DIVIDEND,103.0
EGEEN,2025-03-28,DIVIDEND,53.0
EGEGY,2026-06-26,DIVIDEND,0.3
EGEPO,2025-03-19,SPLIT,4.0
EGGUB,2024-05-16,DIVIDEND,1.2
EGGUB,2025-05-21,DIVIDEND,1.8
EGGUB,2026-05-04,DIVIDEND,2.5
EGGUB,2023-12-20,SPLIT,2.5
EGPRO,2023-07-13,DIVIDEND,0.288919
EGPRO,2023-09-14,DIVIDEND,0.236088
EGPRO,2024-01-09,DIVIDEND,0.135383
EGPRO,2024-03-26,DIVIDEND,0.79132
EGPRO,2024-06-25,DIVIDEND,0.50459
EGPRO,2024-08-26,DIVIDEND,0.50459
EGPRO,2025-05-20,DIVIDEND,0.5
EGPRO,2025-11-20,DIVIDEND,0.5
EGPRO,2026-05-14,DIVIDEND,0.642202
EGPRO,2026-07-16,DIVIDEND,0.642202
EGPRO,2025-01-14,SPLIT,6.729991
EKGYO,2025-06-16,DIVIDEND,0.4
EKGYO,2026-06-24,DIVIDEND,0.6
EKOS,2025-12-26,SPLIT,4.0
EKSUN,2024-07-10,SPLIT,8.571428
ELITE,2023-06-23,DIVIDEND,0.231481
ELITE,2023-12-27,DIVIDEND,0.231481
ELITE,2024-12-11,DIVIDEND,0.05
ELITE,2025-12-05,DIVIDEND,0.05
EMPAE,2026-06-18,DIVIDEND,0.1
ENERY,2024-07-25,DIVIDEND,0.005556
ENERY,2025-08-11,DIVIDEND,0.011111
ENERY,2026-08-25,DIVIDEND,0.016667
ENERY,2025-03-13,SPLIT,62.068965
ENJSA,2024-05-02,DIVIDEND,2.79
ENJSA,2025-04-21,DIVIDEND,2.87
ENJSA,2026-04-13,DIVIDEND,5.08
ENKAI,2024-01-03,DIVIDEND,0.5
ENKAI,2024-05-14,DIVIDEND,1.25
ENKAI,2025-04-16,DIVIDEND,2.0
ENKAI,2025-06-11,DIVIDEND,0.316667
ENKAI,2025-10-08,DIVIDEND,0.833333
ENKAI,2026-01-14,DIVIDEND,0.833333
ENKAI,2026-04-08,DIVIDEND,2.1
ENSRI,2025-12-10,SPLIT,4.6746576
ENTRA,2026-06-01,SPLIT,2.0
EPLAS,2023-08-29,SPLIT,6.850353999999999
ERBOS,2024-07-08,DIVIDEND,2.25
ERBOS,2026-05-20,DIVIDEND,2.7
EREGL,2024-04-16,DIVIDEND,0.25
